State Name,Totaltests, Positivecasespercent
Andhra Pradesh,1714,8.83
Arunachal Pradesh,1664,4.56
Assam,1760,4.07
Bihar ,1685,1.66
Chandigarh,1693,12.46
Chhattisgarh,1670,9.49
Delhi,1764,9.13
Goa,1764,13.96
Gujarat,1792,2.7
Haryana,1850,6.88
Himachal Pradesh,1735,7.28
Jammu & Kashmir,1775,3.74
Jharkhand,1735,2.73
Karnataka,1712,8.31
Kerala,1773,9.61
Ladakh,1872,8.88
Madhya Pradesh,1755,5.51
Maharashtra,1674,17.11
Manipur,1842,6.03
Meghalaya,1786,4.92
Mizoram,1761,2.62
Nagaland,1722,8.55
Odisha,1663,5.52
Punjab,1687,4.83
Rajasthan,1974,5.96
Sikkim,1826,7.85
Tamil Nadu,1787,6.6
Telangana ,1821,5.05
Tripura,2020,6.27
Uttarakhand,1794,5.55
Uttar Pradesh ,1769,2.89
West Bengal,1934,8.26
